iter	Passed	Remaining
0	57	57755
1	58	28981
2	58	19375
3	58	14593
4	58	11717
5	59	9796
6	59	8421
7	59	7388
8	59	6588
9	60	5947
10	60	5423
11	60	4984
12	60	4612
13	60	4294
14	61	4021
15	61	3780
16	61	3566
17	61	3376
18	62	3206
19	62	3053
20	62	2915
21	62	2790
22	62	2675
23	63	2570
24	63	2473
25	63	2383
26	63	2301
27	64	2224
28	64	2152
29	64	2085
30	64	2023
31	64	1964
32	65	1908
33	65	1857
34	65	1809
35	65	1763
36	66	1719
37	66	1678
38	66	1639
39	66	1602
40	67	1567
41	67	1533
42	67	1501
43	67	1470
44	67	1440
45	68	1412
46	68	1384
47	68	1358
48	68	1333
49	68	1310
50	69	1287
51	69	1264
52	69	1243
53	69	1222
54	70	1203
55	70	1194
56	71	1175
57	71	1156
58	71	1139
59	71	1123
60	71	1107
61	72	1091
62	72	1075
63	72	1060
64	72	1046
65	72	1032
66	73	1018
67	73	1006
68	73	993
69	73	980
70	74	968
71	74	957
72	74	946
73	74	934
74	74	924
75	75	913
76	75	903
77	75	892
78	75	882
79	75	873
80	76	863
81	76	854
82	76	843
83	76	834
84	76	826
85	76	818
86	77	809
87	77	801
88	77	793
89	77	786
90	77	778
91	78	771
92	78	763
93	78	756
94	78	750
95	78	743
96	79	736
97	79	730
98	79	723
99	79	717
100	79	711
101	80	705
102	80	699
103	80	694
104	80	688
105	80	682
106	81	677
107	81	672
108	81	667
109	81	662
110	82	657
111	82	652
112	82	647
113	82	642
114	82	637
115	83	632
116	83	627
117	83	622
118	83	618
119	83	613
120	83	609
121	84	604
122	84	600
123	84	596
124	84	592
125	84	588
126	84	583
127	85	580
128	85	576
129	85	573
130	85	569
131	86	565
132	86	561
133	86	558
134	86	554
135	86	551
136	86	547
137	87	544
138	87	541
139	87	537
140	87	534
141	87	530
142	88	527
143	88	524
144	88	521
145	88	518
146	88	515
147	89	512
148	89	509
149	89	506
150	89	504
151	89	501
152	90	498
153	90	496
154	90	493
155	90	490
156	90	488
157	91	485
158	91	482
159	91	480
160	91	477
161	91	474
162	91	472
163	92	469
164	92	467
165	92	465
166	92	462
167	92	460
168	93	458
169	93	455
170	93	453
171	93	451
172	93	449
173	94	447
174	95	448
175	95	446
176	95	444
177	95	441
178	95	439
179	96	437
180	96	435
181	96	433
182	96	431
183	96	429
184	97	428
185	97	426
186	97	424
187	97	422
188	97	420
189	98	418
190	98	416
191	98	414
192	98	412
193	98	411
194	99	409
195	99	407
196	99	405
197	99	404
198	99	402
199	100	400
200	100	399
201	100	397
202	100	395
203	100	394
204	101	392
205	101	391
206	101	389
207	101	387
208	102	386
209	102	384
210	102	383
211	102	381
212	102	380
213	103	378
214	103	377
215	103	375
216	103	374
217	103	372
218	104	371
219	104	369
220	104	368
221	104	366
222	104	365
223	105	364
224	105	362
225	105	361
226	105	360
227	105	358
228	106	357
229	106	356
230	106	354
231	106	353
232	106	352
233	107	350
234	107	349
235	107	348
236	107	346
237	107	345
238	108	344
239	108	342
240	108	341
241	108	340
242	108	339
243	109	337
244	109	336
245	109	335
246	109	334
247	109	333
248	110	332
249	110	330
250	110	329
251	110	328
252	110	327
253	111	326
254	111	325
255	111	323
256	111	322
257	111	321
258	112	320
259	112	319
260	112	318
261	112	317
262	112	316
263	113	315
264	113	314
265	113	313
266	113	312
267	113	311
268	114	310
269	114	309
270	114	308
271	114	307
272	115	306
273	115	305
274	115	304
275	115	303
276	115	302
277	115	301
278	116	300
279	116	299
280	116	298
281	116	297
282	116	296
283	117	295
284	117	294
285	117	293
286	117	292
287	117	291
288	118	290
289	118	289
290	118	288
291	118	287
292	118	286
293	119	286
294	119	285
295	119	284
296	119	283
297	119	282
298	120	281
299	120	280
300	120	279
301	120	278
302	120	277
303	121	277
304	121	276
305	121	275
306	121	274
307	121	273
308	121	272
309	122	271
310	122	271
311	122	270
312	122	269
313	122	268
314	123	267
315	123	267
316	123	266
317	123	265
318	123	264
319	124	263
320	124	262
321	124	262
322	124	261
323	124	260
324	125	259
325	125	259
326	125	258
327	125	257
328	125	256
329	126	256
330	126	255
331	126	254
332	126	253
333	126	253
334	127	252
335	127	251
336	127	250
337	127	250
338	127	249
339	128	248
340	128	247
341	128	247
342	128	246
343	128	245
344	129	245
345	129	244
346	129	243
347	129	243
348	130	242
349	130	241
350	130	241
351	130	240
352	130	239
353	131	239
354	131	238
355	131	237
356	131	237
357	131	236
358	132	235
359	132	235
360	132	234
361	132	233
362	132	233
363	132	232
364	133	231
365	133	231
366	133	230
367	133	229
368	133	229
369	134	228
370	134	227
371	134	227
372	134	226
373	134	225
374	135	225
375	135	224
376	135	223
377	135	223
378	135	222
379	136	221
380	136	221
381	136	220
382	136	220
383	136	219
384	137	218
385	137	218
386	137	217
387	137	217
388	137	216
389	138	215
390	138	215
391	138	214
392	138	214
393	138	213
394	138	212
395	139	212
396	139	211
397	139	211
398	139	210
399	139	209
400	140	209
401	140	208
402	140	208
403	140	207
404	140	206
405	141	206
406	141	205
407	141	205
408	141	205
409	142	204
410	142	203
411	142	203
412	142	202
413	142	202
414	143	201
415	143	201
416	143	200
417	143	200
418	143	199
419	144	198
420	144	198
421	144	198
422	144	197
423	145	196
424	145	196
425	145	195
426	145	195
427	145	194
428	146	194
429	146	193
430	146	193
431	146	192
432	146	192
433	146	191
434	147	191
435	147	190
436	147	190
437	147	189
438	147	189
439	148	188
440	148	188
441	148	187
442	148	187
443	148	186
444	149	185
445	149	185
446	149	184
447	149	184
448	149	183
449	150	183
450	150	182
451	150	182
452	150	181
453	150	181
454	151	180
455	151	180
456	151	179
457	151	179
458	151	178
459	152	178
460	152	177
461	152	177
462	152	176
463	152	176
464	152	176
465	153	175
466	153	175
467	153	174
468	153	174
469	154	173
470	154	173
471	154	172
472	154	172
473	154	171
474	155	171
475	155	170
476	155	170
477	155	169
478	155	169
479	156	169
480	156	168
481	156	168
482	156	167
483	156	167
484	157	166
485	157	166
486	157	165
487	157	165
488	157	164
489	158	164
490	158	164
491	158	163
492	158	163
493	158	162
494	159	162
495	159	161
496	159	161
497	159	160
498	159	160
499	160	160
500	160	159
501	160	159
502	160	158
503	160	158
504	160	157
505	161	157
506	161	156
507	161	156
508	161	156
509	161	155
510	162	155
511	162	154
512	162	154
513	162	153
514	162	153
515	163	153
516	163	152
517	163	152
518	163	151
519	163	151
520	164	150
521	164	150
522	164	150
523	164	149
524	164	149
525	165	148
526	165	148
527	165	147
528	165	147
529	165	147
530	166	146
531	166	146
532	166	145
533	166	145
534	166	144
535	167	144
536	167	144
537	167	143
538	167	143
539	167	142
540	167	142
541	168	142
542	168	141
543	168	141
544	168	140
545	169	140
546	169	140
547	169	139
548	169	139
549	169	138
550	170	138
551	170	138
552	170	137
553	170	137
554	170	136
555	171	136
556	171	136
557	171	135
558	171	135
559	171	134
560	172	134
561	172	134
562	172	133
563	172	133
564	172	133
565	173	132
566	173	132
567	173	131
568	173	131
569	173	131
570	173	130
571	174	130
572	174	129
573	174	129
574	174	129
575	175	128
576	175	128
577	175	128
578	175	127
579	175	127
580	176	127
581	176	126
582	176	126
583	176	125
584	177	125
585	177	125
586	177	124
587	177	124
588	177	124
589	178	123
590	178	123
591	178	123
592	178	122
593	178	122
594	179	121
595	179	121
596	179	121
597	179	120
598	179	120
599	180	120
600	180	119
601	180	119
602	180	119
603	181	118
604	181	118
605	181	117
606	181	117
607	181	117
608	182	116
609	182	116
610	182	116
611	182	115
612	182	115
613	183	115
614	183	114
615	183	114
616	183	114
617	184	113
618	184	113
619	184	113
620	184	112
621	184	112
622	185	111
623	185	111
624	185	111
625	185	110
626	185	110
627	186	110
628	186	109
629	186	109
630	186	109
631	186	108
632	187	108
633	187	108
634	187	107
635	187	107
636	187	107
637	187	106
638	188	106
639	188	105
640	188	105
641	188	105
642	188	104
643	189	104
644	189	104
645	189	103
646	189	103
647	190	103
648	190	102
649	190	102
650	190	102
651	190	101
652	191	101
653	191	101
654	191	100
655	191	100
656	192	100
657	192	100
658	192	99
659	192	99
660	193	99
661	193	98
662	193	98
663	193	98
664	194	97
665	194	97
666	194	97
667	194	96
668	195	96
669	195	96
670	195	95
671	195	95
672	195	95
673	196	94
674	196	94
675	196	94
676	196	93
677	196	93
678	197	93
679	197	92
680	197	92
681	197	92
682	197	91
683	198	91
684	198	91
685	198	90
686	198	90
687	198	90
688	199	89
689	199	89
690	199	89
691	199	88
692	200	88
693	200	88
694	200	87
695	200	87
696	200	87
697	200	86
698	201	86
699	201	86
700	201	85
701	201	85
702	201	85
703	202	84
704	202	84
705	202	84
706	202	84
707	202	83
708	203	83
709	203	83
710	203	82
711	203	82
712	203	82
713	204	81
714	204	81
715	204	81
716	204	80
717	204	80
718	205	80
719	205	79
720	205	79
721	205	79
722	205	78
723	206	78
724	206	78
725	207	78
726	207	77
727	207	77
728	207	77
729	207	76
730	208	76
731	208	76
732	208	75
733	208	75
734	208	75
735	209	75
736	209	74
737	209	74
738	209	74
739	210	73
740	210	73
741	210	73
742	210	72
743	211	72
744	211	72
745	211	71
746	211	71
747	211	71
748	212	71
749	212	70
750	212	70
751	212	70
752	212	69
753	213	69
754	213	69
755	213	68
756	213	68
757	213	68
758	214	67
759	214	67
760	214	67
761	214	67
762	214	66
763	214	66
764	215	66
765	215	65
766	215	65
767	215	65
768	215	64
769	216	64
770	216	64
771	216	63
772	216	63
773	216	63
774	217	63
775	217	62
776	217	62
777	217	62
778	217	61
779	218	61
780	218	61
781	218	60
782	218	60
783	218	60
784	219	59
785	219	59
786	219	59
787	219	59
788	219	58
789	220	58
790	220	58
791	220	57
792	220	57
793	220	57
794	221	57
795	221	56
796	221	56
797	221	56
798	221	55
799	222	55
800	222	55
801	222	54
802	222	54
803	222	54
804	223	54
805	223	53
806	223	53
807	223	53
808	223	52
809	224	52
810	224	52
811	224	51
812	224	51
813	224	51
814	225	51
815	225	50
816	225	50
817	225	50
818	225	49
819	226	49
820	226	49
821	227	49
822	227	48
823	227	48
824	227	48
825	228	48
826	228	47
827	228	47
828	228	47
829	228	46
830	228	46
831	229	46
832	229	45
833	229	45
834	229	45
835	229	45
836	230	44
837	230	44
838	230	44
839	230	43
840	230	43
841	231	43
842	231	43
843	231	42
844	231	42
845	232	42
846	232	41
847	232	41
848	232	41
849	232	41
850	233	40
851	233	40
852	233	40
853	233	39
854	233	39
855	234	39
856	234	39
857	234	38
858	234	38
859	234	38
860	234	37
861	235	37
862	235	37
863	235	37
864	235	36
865	235	36
866	236	36
867	236	35
868	236	35
869	236	35
870	236	35
871	237	34
872	237	34
873	237	34
874	237	33
875	237	33
876	238	33
877	238	33
878	238	32
879	238	32
880	238	32
881	239	31
882	239	31
883	239	31
884	239	31
885	239	30
886	240	30
887	240	30
888	240	30
889	240	29
890	240	29
891	241	29
892	241	28
893	241	28
894	241	28
895	241	28
896	242	27
897	242	27
898	242	27
899	242	26
900	242	26
901	243	26
902	243	26
903	243	25
904	243	25
905	243	25
906	243	25
907	244	24
908	244	24
909	244	24
910	244	23
911	244	23
912	245	23
913	245	23
914	245	22
915	245	22
916	245	22
917	246	21
918	246	21
919	246	21
920	246	21
921	247	20
922	247	20
923	247	20
924	247	20
925	247	19
926	248	19
927	248	19
928	248	18
929	248	18
930	248	18
931	249	18
932	249	17
933	249	17
934	249	17
935	249	17
936	249	16
937	250	16
938	250	16
939	250	15
940	250	15
941	250	15
942	251	15
943	251	14
944	251	14
945	251	14
946	251	14
947	252	13
948	252	13
949	252	13
950	252	13
951	252	12
952	253	12
953	253	12
954	253	11
955	253	11
956	253	11
957	254	11
958	254	10
959	254	10
960	254	10
961	254	10
962	255	9
963	255	9
964	255	9
965	255	9
966	255	8
967	256	8
968	256	8
969	256	7
970	256	7
971	256	7
972	257	7
973	257	6
974	257	6
975	257	6
976	257	6
977	258	5
978	258	5
979	258	5
980	258	5
981	258	4
982	259	4
983	259	4
984	259	3
985	259	3
986	259	3
987	260	3
988	260	2
989	260	2
990	260	2
991	260	2
992	261	1
993	261	1
994	261	1
995	261	1
996	261	0
997	262	0
998	262	0
999	262	0
