iter	Passed	Remaining
0	55	55923
1	56	28048
2	56	18758
3	56	14113
4	56	11327
5	57	9471
6	57	8145
7	57	7146
8	57	6369
9	58	5749
10	58	5242
11	58	4818
12	58	4460
13	58	4152
14	59	3886
15	59	3653
16	59	3447
17	59	3264
18	60	3100
19	60	2952
20	60	2818
21	60	2696
22	60	2585
23	61	2484
24	61	2390
25	61	2304
26	61	2224
27	61	2149
28	62	2080
29	62	2015
30	62	1955
31	62	1904
32	63	1860
33	63	1810
34	64	1764
35	64	1719
36	64	1676
37	64	1635
38	64	1598
39	65	1562
40	65	1527
41	65	1493
42	65	1462
43	65	1432
44	66	1406
45	66	1379
46	66	1353
47	66	1327
48	67	1302
49	67	1279
50	67	1257
51	67	1235
52	67	1214
53	68	1194
54	68	1174
55	68	1156
56	68	1138
57	69	1121
58	69	1104
59	69	1088
60	69	1073
61	69	1057
62	70	1042
63	70	1028
64	70	1014
65	70	1000
66	70	987
67	71	974
68	71	962
69	71	950
70	71	938
71	71	926
72	72	915
73	72	904
74	72	894
75	72	884
76	72	874
77	73	864
78	73	854
79	73	845
80	73	836
81	73	827
82	73	817
83	74	808
84	74	800
85	74	794
86	74	786
87	75	778
88	75	771
89	75	763
90	75	756
91	75	749
92	76	742
93	76	735
94	76	729
95	76	722
96	76	715
97	77	709
98	77	703
99	77	698
100	77	692
101	78	687
102	78	682
103	78	678
104	78	672
105	79	667
106	79	662
107	79	658
108	80	654
109	81	660
110	81	655
111	82	650
112	82	645
113	82	641
114	82	636
115	82	632
116	83	627
117	83	622
118	83	618
119	83	614
120	83	609
121	84	605
122	84	601
123	84	597
124	84	592
125	84	589
126	85	585
127	85	581
128	85	577
129	85	573
130	86	570
131	86	566
132	86	563
133	86	559
134	86	556
135	87	553
136	87	550
137	87	546
138	87	544
139	88	541
140	88	537
141	88	534
142	88	530
143	88	527
144	89	524
145	89	522
146	89	519
147	89	516
148	89	513
149	90	510
150	90	507
151	90	505
152	90	502
153	91	500
154	91	497
155	91	495
156	91	492
157	92	490
158	92	487
159	92	485
160	92	482
161	92	479
162	92	477
163	93	475
164	93	472
165	93	470
166	94	469
167	94	466
168	94	464
169	94	463
170	95	461
171	95	459
172	95	456
173	95	454
174	96	452
175	96	450
176	96	448
177	96	446
178	96	444
179	97	442
180	97	440
181	97	438
182	97	436
183	98	434
184	98	432
185	98	430
186	98	429
187	98	427
188	99	425
189	99	423
190	99	422
191	99	420
192	100	418
193	100	416
194	100	415
195	100	413
196	100	411
197	101	409
198	101	408
199	101	406
200	101	404
201	102	403
202	102	401
203	102	399
204	102	398
205	102	396
206	103	394
207	103	393
208	103	391
209	103	390
210	103	388
211	104	387
212	104	385
213	104	384
214	104	382
215	105	381
216	105	379
217	105	378
218	105	376
219	105	375
220	106	374
221	106	372
222	106	371
223	106	370
224	107	369
225	107	367
226	107	366
227	108	365
228	108	364
229	108	364
230	109	363
231	109	363
232	110	363
233	110	361
234	110	360
235	110	359
236	111	358
237	111	357
238	111	356
239	112	355
240	112	353
241	112	352
242	112	351
243	113	350
244	113	348
245	113	347
246	113	346
247	113	345
248	113	343
249	114	342
250	114	341
251	114	340
252	114	339
253	115	338
254	115	337
255	115	336
256	115	335
257	116	333
258	116	332
259	116	331
260	116	330
261	116	329
262	117	328
263	117	326
264	117	325
265	117	324
266	117	323
267	118	322
268	118	321
269	118	320
270	118	319
271	118	318
272	119	317
273	119	315
274	119	314
275	119	313
276	119	312
277	120	311
278	120	310
279	120	309
280	120	308
281	120	307
282	120	306
283	121	305
284	121	304
285	121	303
286	121	302
287	122	301
288	122	300
289	122	299
290	122	298
291	122	297
292	123	296
293	123	295
294	123	295
295	123	294
296	123	293
297	124	292
298	124	291
299	124	290
300	124	290
301	125	289
302	125	288
303	125	287
304	125	286
305	126	285
306	126	284
307	126	283
308	126	283
309	126	282
310	126	281
311	127	280
312	127	279
313	127	278
314	127	277
315	127	276
316	128	276
317	128	275
318	129	275
319	129	274
320	129	274
321	129	273
322	129	272
323	130	271
324	130	270
325	130	269
326	130	269
327	130	268
328	131	267
329	131	266
330	131	265
331	131	265
332	131	264
333	132	263
334	132	262
335	132	261
336	132	261
337	132	260
338	133	259
339	133	258
340	133	258
341	133	257
342	133	256
343	134	255
344	134	255
345	134	254
346	134	253
347	134	252
348	135	252
349	135	251
350	135	250
351	135	249
352	135	249
353	136	248
354	136	247
355	136	246
356	136	246
357	136	245
358	137	244
359	137	244
360	137	243
361	137	242
362	137	242
363	138	241
364	138	240
365	138	240
366	138	239
367	138	238
368	139	237
369	139	237
370	139	236
371	139	235
372	139	235
373	140	234
374	140	234
375	140	233
376	141	233
377	141	232
378	141	232
379	142	232
380	142	231
381	142	231
382	143	230
383	143	229
384	143	229
385	143	228
386	143	227
387	144	227
388	144	226
389	144	226
390	144	225
391	144	224
392	145	224
393	145	223
394	145	223
395	145	222
396	145	221
397	146	221
398	146	220
399	146	220
400	146	219
401	147	218
402	147	218
403	147	217
404	147	217
405	148	216
406	148	216
407	148	215
408	148	214
409	148	214
410	149	213
411	149	213
412	149	212
413	149	211
414	149	211
415	150	210
416	150	210
417	150	209
418	150	209
419	150	208
420	151	207
421	151	207
422	151	206
423	151	206
424	151	205
425	152	205
426	152	204
427	152	203
428	152	203
429	153	202
430	153	202
431	153	201
432	153	201
433	153	200
434	154	200
435	154	199
436	154	199
437	154	198
438	155	198
439	155	198
440	156	197
441	156	197
442	156	196
443	156	196
444	157	195
445	157	195
446	157	194
447	157	194
448	157	193
449	158	193
450	158	192
451	158	192
452	158	191
453	159	191
454	159	191
455	159	190
456	159	190
457	160	189
458	160	189
459	160	188
460	160	188
461	161	187
462	161	186
463	161	186
464	161	185
465	161	185
466	162	185
467	162	184
468	162	184
469	162	183
470	162	183
471	163	182
472	163	182
473	163	181
474	163	181
475	164	180
476	164	180
477	164	179
478	164	179
479	164	178
480	165	178
481	165	177
482	165	177
483	165	176
484	166	176
485	166	175
486	166	175
487	166	174
488	166	174
489	167	173
490	167	173
491	167	173
492	167	172
493	168	172
494	168	171
495	168	171
496	168	170
497	168	170
498	169	169
499	169	169
500	170	169
501	170	169
502	171	169
503	172	169
504	173	169
505	173	169
506	173	168
507	173	168
508	173	167
509	174	167
510	174	166
511	174	166
512	174	165
513	174	165
514	175	164
